UNIQUE_KEY,DATABASE,SCHEMA,TABLE_NAME,COLUMN_NAME,COLUMN_DESCRIPTION,RESOURCE_TYPE,NAME,SQL,REFERENCE,UPSTREAM_TABLE,UPSTREAM_COLUMN,REASONING
JAFFLE_SHOP.DBT_JMARWAHA.model.jaffle_shop.order_items.ORDER_ITEM_ID,JAFFLE_SHOP,DBT_JMARWAHA,model.jaffle_shop.order_items,ORDER_ITEM_ID,,model,order_items,"with

order_items as (

    select * from {{ ref('stg_order_items') }}

),


orders as (

    select * from {{ ref('stg_orders') }}

),

products as (

    select * from {{ ref('stg_products') }}

),

supplies as (

    select * from {{ ref('stg_supplies') }}

),

order_supplies_summary as (

    select
        product_id,

        sum(supply_cost) as supply_cost

    from supplies

    group by 1

),

joined as (

    select
        order_items.*,

        orders.ordered_at,

        products.product_name,
        products.product_price,
        products.is_food_item,
        products.is_drink_item,

        order_supplies_summary.supply_cost

    from order_items

    left join orders on order_items.order_id = orders.order_id

    left join products on order_items.product_id = products.product_id

    left join order_supplies_summary
        on order_items.product_id = order_supplies_summary.product_id

)

select * from joined","stg_order_items.ORDER_ITEM_ID: , stg_order_items.ORDER_ID: , stg_order_items.PRODUCT_ID: , stg_orders.ORDER_ID: , stg_orders.LOCATION_ID: , stg_orders.CUSTOMER_ID: , stg_orders.SUBTOTAL_CENTS: , stg_orders.TAX_PAID_CENTS: , stg_orders.ORDER_TOTAL_CENTS: , stg_orders.SUBTOTAL: , stg_orders.TAX_PAID: , stg_orders.ORDER_TOTAL: , stg_orders.ORDERED_AT: , stg_products.PRODUCT_ID: , stg_products.PRODUCT_NAME: , stg_products.PRODUCT_TYPE: , stg_products.PRODUCT_DESCRIPTION: , stg_products.PRODUCT_PRICE: , stg_products.IS_FOOD_ITEM: , stg_products.IS_DRINK_ITEM: , stg_supplies.SUPPLY_UUID: , stg_supplies.SUPPLY_ID: , stg_supplies.PRODUCT_ID: , stg_supplies.SUPPLY_NAME: , stg_supplies.SUPPLY_COST: , stg_supplies.IS_PERISHABLE_SUPPLY: ",stg_order_items,stg_order_items.ORDER_ITEM_ID,"The column ORDER_ITEM_ID is directly selected from the stg_order_items table without any transformation, indicating a one-to-one mapping."
JAFFLE_SHOP.DBT_JMARWAHA.model.jaffle_shop.order_items.ORDER_ID,JAFFLE_SHOP,DBT_JMARWAHA,model.jaffle_shop.order_items,ORDER_ID,,model,order_items,"with

order_items as (

    select * from {{ ref('stg_order_items') }}

),


orders as (

    select * from {{ ref('stg_orders') }}

),

products as (

    select * from {{ ref('stg_products') }}

),

supplies as (

    select * from {{ ref('stg_supplies') }}

),

order_supplies_summary as (

    select
        product_id,

        sum(supply_cost) as supply_cost

    from supplies

    group by 1

),

joined as (

    select
        order_items.*,

        orders.ordered_at,

        products.product_name,
        products.product_price,
        products.is_food_item,
        products.is_drink_item,

        order_supplies_summary.supply_cost

    from order_items

    left join orders on order_items.order_id = orders.order_id

    left join products on order_items.product_id = products.product_id

    left join order_supplies_summary
        on order_items.product_id = order_supplies_summary.product_id

)

select * from joined","stg_order_items.ORDER_ITEM_ID: , stg_order_items.ORDER_ID: , stg_order_items.PRODUCT_ID: , stg_orders.ORDER_ID: , stg_orders.LOCATION_ID: , stg_orders.CUSTOMER_ID: , stg_orders.SUBTOTAL_CENTS: , stg_orders.TAX_PAID_CENTS: , stg_orders.ORDER_TOTAL_CENTS: , stg_orders.SUBTOTAL: , stg_orders.TAX_PAID: , stg_orders.ORDER_TOTAL: , stg_orders.ORDERED_AT: , stg_products.PRODUCT_ID: , stg_products.PRODUCT_NAME: , stg_products.PRODUCT_TYPE: , stg_products.PRODUCT_DESCRIPTION: , stg_products.PRODUCT_PRICE: , stg_products.IS_FOOD_ITEM: , stg_products.IS_DRINK_ITEM: , stg_supplies.SUPPLY_UUID: , stg_supplies.SUPPLY_ID: , stg_supplies.PRODUCT_ID: , stg_supplies.SUPPLY_NAME: , stg_supplies.SUPPLY_COST: , stg_supplies.IS_PERISHABLE_SUPPLY: ","stg_order_items, stg_orders","stg_order_items.ORDER_ID, stg_orders.ORDER_ID","The ORDER_ID in the model is sourced from the stg_order_items table directly as it is included in the selection of order_items, but it is also present in stg_orders, indicating that it is likely a key reference; however, since order_items is the primary source for the order items, stg_order_items.ORDER_ID is the direct source."
JAFFLE_SHOP.DBT_JMARWAHA.model.jaffle_shop.order_items.PRODUCT_ID,JAFFLE_SHOP,DBT_JMARWAHA,model.jaffle_shop.order_items,PRODUCT_ID,,model,order_items,"with

order_items as (

    select * from {{ ref('stg_order_items') }}

),


orders as (

    select * from {{ ref('stg_orders') }}

),

products as (

    select * from {{ ref('stg_products') }}

),

supplies as (

    select * from {{ ref('stg_supplies') }}

),

order_supplies_summary as (

    select
        product_id,

        sum(supply_cost) as supply_cost

    from supplies

    group by 1

),

joined as (

    select
        order_items.*,

        orders.ordered_at,

        products.product_name,
        products.product_price,
        products.is_food_item,
        products.is_drink_item,

        order_supplies_summary.supply_cost

    from order_items

    left join orders on order_items.order_id = orders.order_id

    left join products on order_items.product_id = products.product_id

    left join order_supplies_summary
        on order_items.product_id = order_supplies_summary.product_id

)

select * from joined","stg_order_items.ORDER_ITEM_ID: , stg_order_items.ORDER_ID: , stg_order_items.PRODUCT_ID: , stg_orders.ORDER_ID: , stg_orders.LOCATION_ID: , stg_orders.CUSTOMER_ID: , stg_orders.SUBTOTAL_CENTS: , stg_orders.TAX_PAID_CENTS: , stg_orders.ORDER_TOTAL_CENTS: , stg_orders.SUBTOTAL: , stg_orders.TAX_PAID: , stg_orders.ORDER_TOTAL: , stg_orders.ORDERED_AT: , stg_products.PRODUCT_ID: , stg_products.PRODUCT_NAME: , stg_products.PRODUCT_TYPE: , stg_products.PRODUCT_DESCRIPTION: , stg_products.PRODUCT_PRICE: , stg_products.IS_FOOD_ITEM: , stg_products.IS_DRINK_ITEM: , stg_supplies.SUPPLY_UUID: , stg_supplies.SUPPLY_ID: , stg_supplies.PRODUCT_ID: , stg_supplies.SUPPLY_NAME: , stg_supplies.SUPPLY_COST: , stg_supplies.IS_PERISHABLE_SUPPLY: ","stg_order_items, stg_products","stg_order_items.PRODUCT_ID, stg_products.PRODUCT_ID","The column PRODUCT_ID is directly selected from stg_order_items and also joined with stg_products, indicating it may originate from either, but the direct reference in the selection from order_items suggests a one-to-one mapping from stg_order_items."
JAFFLE_SHOP.DBT_JMARWAHA.model.jaffle_shop.order_items.ORDERED_AT,JAFFLE_SHOP,DBT_JMARWAHA,model.jaffle_shop.order_items,ORDERED_AT,,model,order_items,"with

order_items as (

    select * from {{ ref('stg_order_items') }}

),


orders as (

    select * from {{ ref('stg_orders') }}

),

products as (

    select * from {{ ref('stg_products') }}

),

supplies as (

    select * from {{ ref('stg_supplies') }}

),

order_supplies_summary as (

    select
        product_id,

        sum(supply_cost) as supply_cost

    from supplies

    group by 1

),

joined as (

    select
        order_items.*,

        orders.ordered_at,

        products.product_name,
        products.product_price,
        products.is_food_item,
        products.is_drink_item,

        order_supplies_summary.supply_cost

    from order_items

    left join orders on order_items.order_id = orders.order_id

    left join products on order_items.product_id = products.product_id

    left join order_supplies_summary
        on order_items.product_id = order_supplies_summary.product_id

)

select * from joined","stg_order_items.ORDER_ITEM_ID: , stg_order_items.ORDER_ID: , stg_order_items.PRODUCT_ID: , stg_orders.ORDER_ID: , stg_orders.LOCATION_ID: , stg_orders.CUSTOMER_ID: , stg_orders.SUBTOTAL_CENTS: , stg_orders.TAX_PAID_CENTS: , stg_orders.ORDER_TOTAL_CENTS: , stg_orders.SUBTOTAL: , stg_orders.TAX_PAID: , stg_orders.ORDER_TOTAL: , stg_orders.ORDERED_AT: , stg_products.PRODUCT_ID: , stg_products.PRODUCT_NAME: , stg_products.PRODUCT_TYPE: , stg_products.PRODUCT_DESCRIPTION: , stg_products.PRODUCT_PRICE: , stg_products.IS_FOOD_ITEM: , stg_products.IS_DRINK_ITEM: , stg_supplies.SUPPLY_UUID: , stg_supplies.SUPPLY_ID: , stg_supplies.PRODUCT_ID: , stg_supplies.SUPPLY_NAME: , stg_supplies.SUPPLY_COST: , stg_supplies.IS_PERISHABLE_SUPPLY: ",stg_orders,stg_orders.ORDERED_AT,"The column ORDERED_AT is directly selected from the stg_orders table in the SQL code without any transformation, indicating a one-to-one mapping."
JAFFLE_SHOP.DBT_JMARWAHA.model.jaffle_shop.order_items.PRODUCT_NAME,JAFFLE_SHOP,DBT_JMARWAHA,model.jaffle_shop.order_items,PRODUCT_NAME,,model,order_items,"with

order_items as (

    select * from {{ ref('stg_order_items') }}

),


orders as (

    select * from {{ ref('stg_orders') }}

),

products as (

    select * from {{ ref('stg_products') }}

),

supplies as (

    select * from {{ ref('stg_supplies') }}

),

order_supplies_summary as (

    select
        product_id,

        sum(supply_cost) as supply_cost

    from supplies

    group by 1

),

joined as (

    select
        order_items.*,

        orders.ordered_at,

        products.product_name,
        products.product_price,
        products.is_food_item,
        products.is_drink_item,

        order_supplies_summary.supply_cost

    from order_items

    left join orders on order_items.order_id = orders.order_id

    left join products on order_items.product_id = products.product_id

    left join order_supplies_summary
        on order_items.product_id = order_supplies_summary.product_id

)

select * from joined","stg_order_items.ORDER_ITEM_ID: , stg_order_items.ORDER_ID: , stg_order_items.PRODUCT_ID: , stg_orders.ORDER_ID: , stg_orders.LOCATION_ID: , stg_orders.CUSTOMER_ID: , stg_orders.SUBTOTAL_CENTS: , stg_orders.TAX_PAID_CENTS: , stg_orders.ORDER_TOTAL_CENTS: , stg_orders.SUBTOTAL: , stg_orders.TAX_PAID: , stg_orders.ORDER_TOTAL: , stg_orders.ORDERED_AT: , stg_products.PRODUCT_ID: , stg_products.PRODUCT_NAME: , stg_products.PRODUCT_TYPE: , stg_products.PRODUCT_DESCRIPTION: , stg_products.PRODUCT_PRICE: , stg_products.IS_FOOD_ITEM: , stg_products.IS_DRINK_ITEM: , stg_supplies.SUPPLY_UUID: , stg_supplies.SUPPLY_ID: , stg_supplies.PRODUCT_ID: , stg_supplies.SUPPLY_NAME: , stg_supplies.SUPPLY_COST: , stg_supplies.IS_PERISHABLE_SUPPLY: ",stg_products,stg_products.PRODUCT_NAME,"The column PRODUCT_NAME is directly selected from the stg_products table without any transformations or calculations, indicating a one-to-one mapping."
JAFFLE_SHOP.DBT_JMARWAHA.model.jaffle_shop.order_items.PRODUCT_PRICE,JAFFLE_SHOP,DBT_JMARWAHA,model.jaffle_shop.order_items,PRODUCT_PRICE,,model,order_items,"with

order_items as (

    select * from {{ ref('stg_order_items') }}

),


orders as (

    select * from {{ ref('stg_orders') }}

),

products as (

    select * from {{ ref('stg_products') }}

),

supplies as (

    select * from {{ ref('stg_supplies') }}

),

order_supplies_summary as (

    select
        product_id,

        sum(supply_cost) as supply_cost

    from supplies

    group by 1

),

joined as (

    select
        order_items.*,

        orders.ordered_at,

        products.product_name,
        products.product_price,
        products.is_food_item,
        products.is_drink_item,

        order_supplies_summary.supply_cost

    from order_items

    left join orders on order_items.order_id = orders.order_id

    left join products on order_items.product_id = products.product_id

    left join order_supplies_summary
        on order_items.product_id = order_supplies_summary.product_id

)

select * from joined","stg_order_items.ORDER_ITEM_ID: , stg_order_items.ORDER_ID: , stg_order_items.PRODUCT_ID: , stg_orders.ORDER_ID: , stg_orders.LOCATION_ID: , stg_orders.CUSTOMER_ID: , stg_orders.SUBTOTAL_CENTS: , stg_orders.TAX_PAID_CENTS: , stg_orders.ORDER_TOTAL_CENTS: , stg_orders.SUBTOTAL: , stg_orders.TAX_PAID: , stg_orders.ORDER_TOTAL: , stg_orders.ORDERED_AT: , stg_products.PRODUCT_ID: , stg_products.PRODUCT_NAME: , stg_products.PRODUCT_TYPE: , stg_products.PRODUCT_DESCRIPTION: , stg_products.PRODUCT_PRICE: , stg_products.IS_FOOD_ITEM: , stg_products.IS_DRINK_ITEM: , stg_supplies.SUPPLY_UUID: , stg_supplies.SUPPLY_ID: , stg_supplies.PRODUCT_ID: , stg_supplies.SUPPLY_NAME: , stg_supplies.SUPPLY_COST: , stg_supplies.IS_PERISHABLE_SUPPLY: ",stg_products,stg_products.PRODUCT_PRICE,"The column PRODUCT_PRICE is directly selected from the stg_products table without any transformation, indicating a one-to-one mapping."
JAFFLE_SHOP.DBT_JMARWAHA.model.jaffle_shop.order_items.IS_FOOD_ITEM,JAFFLE_SHOP,DBT_JMARWAHA,model.jaffle_shop.order_items,IS_FOOD_ITEM,,model,order_items,"with

order_items as (

    select * from {{ ref('stg_order_items') }}

),


orders as (

    select * from {{ ref('stg_orders') }}

),

products as (

    select * from {{ ref('stg_products') }}

),

supplies as (

    select * from {{ ref('stg_supplies') }}

),

order_supplies_summary as (

    select
        product_id,

        sum(supply_cost) as supply_cost

    from supplies

    group by 1

),

joined as (

    select
        order_items.*,

        orders.ordered_at,

        products.product_name,
        products.product_price,
        products.is_food_item,
        products.is_drink_item,

        order_supplies_summary.supply_cost

    from order_items

    left join orders on order_items.order_id = orders.order_id

    left join products on order_items.product_id = products.product_id

    left join order_supplies_summary
        on order_items.product_id = order_supplies_summary.product_id

)

select * from joined","stg_order_items.ORDER_ITEM_ID: , stg_order_items.ORDER_ID: , stg_order_items.PRODUCT_ID: , stg_orders.ORDER_ID: , stg_orders.LOCATION_ID: , stg_orders.CUSTOMER_ID: , stg_orders.SUBTOTAL_CENTS: , stg_orders.TAX_PAID_CENTS: , stg_orders.ORDER_TOTAL_CENTS: , stg_orders.SUBTOTAL: , stg_orders.TAX_PAID: , stg_orders.ORDER_TOTAL: , stg_orders.ORDERED_AT: , stg_products.PRODUCT_ID: , stg_products.PRODUCT_NAME: , stg_products.PRODUCT_TYPE: , stg_products.PRODUCT_DESCRIPTION: , stg_products.PRODUCT_PRICE: , stg_products.IS_FOOD_ITEM: , stg_products.IS_DRINK_ITEM: , stg_supplies.SUPPLY_UUID: , stg_supplies.SUPPLY_ID: , stg_supplies.PRODUCT_ID: , stg_supplies.SUPPLY_NAME: , stg_supplies.SUPPLY_COST: , stg_supplies.IS_PERISHABLE_SUPPLY: ",stg_products,stg_products.IS_FOOD_ITEM,"The column IS_FOOD_ITEM is directly selected from the products table without any transformations, indicating a one-to-one mapping."
JAFFLE_SHOP.DBT_JMARWAHA.model.jaffle_shop.order_items.IS_DRINK_ITEM,JAFFLE_SHOP,DBT_JMARWAHA,model.jaffle_shop.order_items,IS_DRINK_ITEM,,model,order_items,"with

order_items as (

    select * from {{ ref('stg_order_items') }}

),


orders as (

    select * from {{ ref('stg_orders') }}

),

products as (

    select * from {{ ref('stg_products') }}

),

supplies as (

    select * from {{ ref('stg_supplies') }}

),

order_supplies_summary as (

    select
        product_id,

        sum(supply_cost) as supply_cost

    from supplies

    group by 1

),

joined as (

    select
        order_items.*,

        orders.ordered_at,

        products.product_name,
        products.product_price,
        products.is_food_item,
        products.is_drink_item,

        order_supplies_summary.supply_cost

    from order_items

    left join orders on order_items.order_id = orders.order_id

    left join products on order_items.product_id = products.product_id

    left join order_supplies_summary
        on order_items.product_id = order_supplies_summary.product_id

)

select * from joined","stg_order_items.ORDER_ITEM_ID: , stg_order_items.ORDER_ID: , stg_order_items.PRODUCT_ID: , stg_orders.ORDER_ID: , stg_orders.LOCATION_ID: , stg_orders.CUSTOMER_ID: , stg_orders.SUBTOTAL_CENTS: , stg_orders.TAX_PAID_CENTS: , stg_orders.ORDER_TOTAL_CENTS: , stg_orders.SUBTOTAL: , stg_orders.TAX_PAID: , stg_orders.ORDER_TOTAL: , stg_orders.ORDERED_AT: , stg_products.PRODUCT_ID: , stg_products.PRODUCT_NAME: , stg_products.PRODUCT_TYPE: , stg_products.PRODUCT_DESCRIPTION: , stg_products.PRODUCT_PRICE: , stg_products.IS_FOOD_ITEM: , stg_products.IS_DRINK_ITEM: , stg_supplies.SUPPLY_UUID: , stg_supplies.SUPPLY_ID: , stg_supplies.PRODUCT_ID: , stg_supplies.SUPPLY_NAME: , stg_supplies.SUPPLY_COST: , stg_supplies.IS_PERISHABLE_SUPPLY: ",stg_products,stg_products.IS_DRINK_ITEM,"The column IS_DRINK_ITEM is directly selected from the stg_products table without any transformation, indicating a one-to-one mapping."
JAFFLE_SHOP.DBT_JMARWAHA.model.jaffle_shop.order_items.SUPPLY_COST,JAFFLE_SHOP,DBT_JMARWAHA,model.jaffle_shop.order_items,SUPPLY_COST,,model,order_items,"with

order_items as (

    select * from {{ ref('stg_order_items') }}

),


orders as (

    select * from {{ ref('stg_orders') }}

),

products as (

    select * from {{ ref('stg_products') }}

),

supplies as (

    select * from {{ ref('stg_supplies') }}

),

order_supplies_summary as (

    select
        product_id,

        sum(supply_cost) as supply_cost

    from supplies

    group by 1

),

joined as (

    select
        order_items.*,

        orders.ordered_at,

        products.product_name,
        products.product_price,
        products.is_food_item,
        products.is_drink_item,

        order_supplies_summary.supply_cost

    from order_items

    left join orders on order_items.order_id = orders.order_id

    left join products on order_items.product_id = products.product_id

    left join order_supplies_summary
        on order_items.product_id = order_supplies_summary.product_id

)

select * from joined","stg_order_items.ORDER_ITEM_ID: , stg_order_items.ORDER_ID: , stg_order_items.PRODUCT_ID: , stg_orders.ORDER_ID: , stg_orders.LOCATION_ID: , stg_orders.CUSTOMER_ID: , stg_orders.SUBTOTAL_CENTS: , stg_orders.TAX_PAID_CENTS: , stg_orders.ORDER_TOTAL_CENTS: , stg_orders.SUBTOTAL: , stg_orders.TAX_PAID: , stg_orders.ORDER_TOTAL: , stg_orders.ORDERED_AT: , stg_products.PRODUCT_ID: , stg_products.PRODUCT_NAME: , stg_products.PRODUCT_TYPE: , stg_products.PRODUCT_DESCRIPTION: , stg_products.PRODUCT_PRICE: , stg_products.IS_FOOD_ITEM: , stg_products.IS_DRINK_ITEM: , stg_supplies.SUPPLY_UUID: , stg_supplies.SUPPLY_ID: , stg_supplies.PRODUCT_ID: , stg_supplies.SUPPLY_NAME: , stg_supplies.SUPPLY_COST: , stg_supplies.IS_PERISHABLE_SUPPLY: ",stg_supplies,stg_supplies.SUPPLY_COST,[The SUPPLY_COST is directly selected from the supplies table without any transformations or calculations applied.]
JAFFLE_SHOP.DBT_JMARWAHA.model.jaffle_shop.locations.LOCATION_ID,JAFFLE_SHOP,DBT_JMARWAHA,model.jaffle_shop.locations,LOCATION_ID,,model,locations,"with

locations as (

    select * from {{ ref('stg_locations') }}

)

select * from locations","stg_locations.LOCATION_ID: , stg_locations.LOCATION_NAME: , stg_locations.TAX_RATE: , stg_locations.OPENED_DATE: ",stg_locations,stg_locations.LOCATION_ID,"The LOCATION_ID column is directly selected from the stg_locations table without any transformations, indicating a one-to-one mapping."
JAFFLE_SHOP.DBT_JMARWAHA.model.jaffle_shop.locations.LOCATION_NAME,JAFFLE_SHOP,DBT_JMARWAHA,model.jaffle_shop.locations,LOCATION_NAME,,model,locations,"with

locations as (

    select * from {{ ref('stg_locations') }}

)

select * from locations","stg_locations.LOCATION_ID: , stg_locations.LOCATION_NAME: , stg_locations.TAX_RATE: , stg_locations.OPENED_DATE: ",stg_locations,stg_locations.LOCATION_NAME,"The column LOCATION_NAME is directly selected from the upstream table stg_locations without any transformations, indicating a one-to-one mapping."
JAFFLE_SHOP.DBT_JMARWAHA.model.jaffle_shop.locations.TAX_RATE,JAFFLE_SHOP,DBT_JMARWAHA,model.jaffle_shop.locations,TAX_RATE,,model,locations,"with

locations as (

    select * from {{ ref('stg_locations') }}

)

select * from locations","stg_locations.LOCATION_ID: , stg_locations.LOCATION_NAME: , stg_locations.TAX_RATE: , stg_locations.OPENED_DATE: ",stg_locations,stg_locations.TAX_RATE,"This column is directly selected from the upstream table without any transformations, indicating a one-to-one mapping."
JAFFLE_SHOP.DBT_JMARWAHA.model.jaffle_shop.locations.OPENED_DATE,JAFFLE_SHOP,DBT_JMARWAHA,model.jaffle_shop.locations,OPENED_DATE,,model,locations,"with

locations as (

    select * from {{ ref('stg_locations') }}

)

select * from locations","stg_locations.LOCATION_ID: , stg_locations.LOCATION_NAME: , stg_locations.TAX_RATE: , stg_locations.OPENED_DATE: ",stg_locations,stg_locations.OPENED_DATE,"The OPENED_DATE column is directly selected from the stg_locations table without any transformation, indicating a one-to-one mapping."
JAFFLE_SHOP.DBT_JMARWAHA.model.jaffle_shop.stg_orders.ORDER_ID,JAFFLE_SHOP,DBT_JMARWAHA,model.jaffle_shop.stg_orders,ORDER_ID,,model,stg_orders,"with

source as (

    select * from {{ source('ecom', 'raw_orders') }}

),

renamed as (

    select

        ----------  ids
        id as order_id,
        store_id as location_id,
        customer as customer_id,

        ---------- numerics
        subtotal as subtotal_cents,
        tax_paid as tax_paid_cents,
        order_total as order_total_cents,
        {{ cents_to_dollars('subtotal') }} as subtotal,
        {{ cents_to_dollars('tax_paid') }} as tax_paid,
        {{ cents_to_dollars('order_total') }} as order_total,

        ---------- timestamps
        {{ dbt.date_trunc('day','ordered_at') }} as ordered_at

    from source

)

select * from renamed",,ecom.raw_orders,id,"The ORDER_ID is a direct mapping from the id column in the source table, with no transformations applied."
JAFFLE_SHOP.DBT_JMARWAHA.model.jaffle_shop.stg_orders.LOCATION_ID,JAFFLE_SHOP,DBT_JMARWAHA,model.jaffle_shop.stg_orders,LOCATION_ID,,model,stg_orders,"with

source as (

    select * from {{ source('ecom', 'raw_orders') }}

),

renamed as (

    select

        ----------  ids
        id as order_id,
        store_id as location_id,
        customer as customer_id,

        ---------- numerics
        subtotal as subtotal_cents,
        tax_paid as tax_paid_cents,
        order_total as order_total_cents,
        {{ cents_to_dollars('subtotal') }} as subtotal,
        {{ cents_to_dollars('tax_paid') }} as tax_paid,
        {{ cents_to_dollars('order_total') }} as order_total,

        ---------- timestamps
        {{ dbt.date_trunc('day','ordered_at') }} as ordered_at

    from source

)

select * from renamed",,ecom.raw_orders,store_id,"The LOCATION_ID column is directly sourced from the store_id column in the raw_orders table without any transformation, indicating a one-to-one mapping."
JAFFLE_SHOP.DBT_JMARWAHA.model.jaffle_shop.stg_orders.CUSTOMER_ID,JAFFLE_SHOP,DBT_JMARWAHA,model.jaffle_shop.stg_orders,CUSTOMER_ID,,model,stg_orders,"with

source as (

    select * from {{ source('ecom', 'raw_orders') }}

),

renamed as (

    select

        ----------  ids
        id as order_id,
        store_id as location_id,
        customer as customer_id,

        ---------- numerics
        subtotal as subtotal_cents,
        tax_paid as tax_paid_cents,
        order_total as order_total_cents,
        {{ cents_to_dollars('subtotal') }} as subtotal,
        {{ cents_to_dollars('tax_paid') }} as tax_paid,
        {{ cents_to_dollars('order_total') }} as order_total,

        ---------- timestamps
        {{ dbt.date_trunc('day','ordered_at') }} as ordered_at

    from source

)

select * from renamed",,ecom.raw_orders,customer,The CUSTOMER_ID column is directly sourced from the customer column in the raw_orders table with a straightforward one-to-one mapping.
JAFFLE_SHOP.DBT_JMARWAHA.model.jaffle_shop.stg_orders.SUBTOTAL_CENTS,JAFFLE_SHOP,DBT_JMARWAHA,model.jaffle_shop.stg_orders,SUBTOTAL_CENTS,,model,stg_orders,"with

source as (

    select * from {{ source('ecom', 'raw_orders') }}

),

renamed as (

    select

        ----------  ids
        id as order_id,
        store_id as location_id,
        customer as customer_id,

        ---------- numerics
        subtotal as subtotal_cents,
        tax_paid as tax_paid_cents,
        order_total as order_total_cents,
        {{ cents_to_dollars('subtotal') }} as subtotal,
        {{ cents_to_dollars('tax_paid') }} as tax_paid,
        {{ cents_to_dollars('order_total') }} as order_total,

        ---------- timestamps
        {{ dbt.date_trunc('day','ordered_at') }} as ordered_at

    from source

)

select * from renamed",,ecom.raw_orders,subtotal,The column SUBTOTAL_CENTS is directly sourced from the subtotal column in the raw_orders table without any transformation.
JAFFLE_SHOP.DBT_JMARWAHA.model.jaffle_shop.stg_orders.TAX_PAID_CENTS,JAFFLE_SHOP,DBT_JMARWAHA,model.jaffle_shop.stg_orders,TAX_PAID_CENTS,,model,stg_orders,"with

source as (

    select * from {{ source('ecom', 'raw_orders') }}

),

renamed as (

    select

        ----------  ids
        id as order_id,
        store_id as location_id,
        customer as customer_id,

        ---------- numerics
        subtotal as subtotal_cents,
        tax_paid as tax_paid_cents,
        order_total as order_total_cents,
        {{ cents_to_dollars('subtotal') }} as subtotal,
        {{ cents_to_dollars('tax_paid') }} as tax_paid,
        {{ cents_to_dollars('order_total') }} as order_total,

        ---------- timestamps
        {{ dbt.date_trunc('day','ordered_at') }} as ordered_at

    from source

)

select * from renamed",,ecom.raw_orders,tax_paid,"The column `tax_paid_cents` is directly sourced from `tax_paid` in the `raw_orders` table without any transformation, indicating a one-to-one mapping."
JAFFLE_SHOP.DBT_JMARWAHA.model.jaffle_shop.stg_orders.ORDER_TOTAL_CENTS,JAFFLE_SHOP,DBT_JMARWAHA,model.jaffle_shop.stg_orders,ORDER_TOTAL_CENTS,,model,stg_orders,"with

source as (

    select * from {{ source('ecom', 'raw_orders') }}

),

renamed as (

    select

        ----------  ids
        id as order_id,
        store_id as location_id,
        customer as customer_id,

        ---------- numerics
        subtotal as subtotal_cents,
        tax_paid as tax_paid_cents,
        order_total as order_total_cents,
        {{ cents_to_dollars('subtotal') }} as subtotal,
        {{ cents_to_dollars('tax_paid') }} as tax_paid,
        {{ cents_to_dollars('order_total') }} as order_total,

        ---------- timestamps
        {{ dbt.date_trunc('day','ordered_at') }} as ordered_at

    from source

)

select * from renamed",,ecom.raw_orders,order_total,The column ORDER_TOTAL_CENTS is directly sourced from the order_total column in the raw_orders table with no transformations applied.
JAFFLE_SHOP.DBT_JMARWAHA.model.jaffle_shop.stg_orders.SUBTOTAL,JAFFLE_SHOP,DBT_JMARWAHA,model.jaffle_shop.stg_orders,SUBTOTAL,,model,stg_orders,"with

source as (

    select * from {{ source('ecom', 'raw_orders') }}

),

renamed as (

    select

        ----------  ids
        id as order_id,
        store_id as location_id,
        customer as customer_id,

        ---------- numerics
        subtotal as subtotal_cents,
        tax_paid as tax_paid_cents,
        order_total as order_total_cents,
        {{ cents_to_dollars('subtotal') }} as subtotal,
        {{ cents_to_dollars('tax_paid') }} as tax_paid,
        {{ cents_to_dollars('order_total') }} as order_total,

        ---------- timestamps
        {{ dbt.date_trunc('day','ordered_at') }} as ordered_at

    from source

)

select * from renamed",,ecom.raw_orders,subtotal,The column 'subtotal' is directly selected from the source table 'ecom.raw_orders' and transformed using the `cents_to_dollars` function to convert cents to dollars.
JAFFLE_SHOP.DBT_JMARWAHA.model.jaffle_shop.stg_orders.TAX_PAID,JAFFLE_SHOP,DBT_JMARWAHA,model.jaffle_shop.stg_orders,TAX_PAID,,model,stg_orders,"with

source as (

    select * from {{ source('ecom', 'raw_orders') }}

),

renamed as (

    select

        ----------  ids
        id as order_id,
        store_id as location_id,
        customer as customer_id,

        ---------- numerics
        subtotal as subtotal_cents,
        tax_paid as tax_paid_cents,
        order_total as order_total_cents,
        {{ cents_to_dollars('subtotal') }} as subtotal,
        {{ cents_to_dollars('tax_paid') }} as tax_paid,
        {{ cents_to_dollars('order_total') }} as order_total,

        ---------- timestamps
        {{ dbt.date_trunc('day','ordered_at') }} as ordered_at

    from source

)

select * from renamed",,ecom.raw_orders,tax_paid,"The column `tax_paid` is directly selected from the source table `ecom.raw_orders` and is renamed to `tax_paid_cents` without any transformation, indicating a one-to-one mapping."
